ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622120068920,2,186,21.02523,105.77864,1622120063,2021-05-27 19:54:23,2021-05-27 19:54:28
1622120068920,3,185,21.02506,105.77863,1622120064,2021-05-27 19:54:24,2021-05-27 19:54:28
1622120068920,4,184,21.02489,105.77861,1622120065,2021-05-27 19:54:25,2021-05-27 19:54:28
1622120068920,5,181,21.02472,105.7786,1622120066,2021-05-27 19:54:26,2021-05-27 19:54:28
1622120068920,6,181,21.02455,105.7786,1622120067,2021-05-27 19:54:27,2021-05-27 19:54:28
1622120068920,7,179,21.02437,105.7786,1622120068,2021-05-27 19:54:28,2021-05-27 19:54:28
1622120076921,0,178,21.02419,105.77861,1622120069,2021-05-27 19:54:29,2021-05-27 19:54:36
1622120076921,1,176,21.02402,105.77862,1622120070,2021-05-27 19:54:30,2021-05-27 19:54:36
1622120076921,2,175,21.02384,105.77863,1622120071,2021-05-27 19:54:31,2021-05-27 19:54:36
1622120076921,3,174,21.02366,105.77866,1622120072,2021-05-27 19:54:32,2021-05-27 19:54:36
1622120076921,4,172,21.02348,105.77868,1622120073,2021-05-27 19:54:33,2021-05-27 19:54:36
1622120076921,5,170,21.0233,105.77871,1622120074,2021-05-27 19:54:34,2021-05-27 19:54:36
1622120076921,6,169,21.02312,105.77875,1622120075,2021-05-27 19:54:35,2021-05-27 19:54:36
1622120076921,7,167,21.02294,105.77878,1622120076,2021-05-27 19:54:36,2021-05-27 19:54:36
1622120084902,0,167,21.02276,105.77882,1622120077,2021-05-27 19:54:37,2021-05-27 19:54:44
1622120084902,1,166,21.02258,105.77887,1622120078,2021-05-27 19:54:38,2021-05-27 19:54:44
1622120084902,2,164,21.0224,105.77892,1622120079,2021-05-27 19:54:39,2021-05-27 19:54:44
1622120084902,3,162,21.02223,105.77898,1622120080,2021-05-27 19:54:40,2021-05-27 19:54:44
1622120084902,4,160,21.02205,105.77905,1622120081,2021-05-27 19:54:41,2021-05-27 19:54:44
1622120084902,5,159,21.02188,105.77911,1622120082,2021-05-27 19:54:42,2021-05-27 19:54:44
1622120084902,6,158,21.02172,105.77918,1622120083,2021-05-27 19:54:43,2021-05-27 19:54:44
1622120084902,7,157,21.02155,105.77925,1622120084,2021-05-27 19:54:44,2021-05-27 19:54:44
1622120092899,0,155,21.0214,105.77933,1622120085,2021-05-27 19:54:45,2021-05-27 19:54:52
1622120092899,1,154,21.02124,105.77941,1622120086,2021-05-27 19:54:46,2021-05-27 19:54:52
1622120092899,2,152,21.02108,105.7795,1622120087,2021-05-27 19:54:47,2021-05-27 19:54:52
1622120092899,3,151,21.02092,105.77959,1622120088,2021-05-27 19:54:48,2021-05-27 19:54:52
1622120092899,4,149,21.02078,105.77969,1622120089,2021-05-27 19:54:49,2021-05-27 19:54:52
1622120092899,5,148,21.02062,105.77979,1622120090,2021-05-27 19:54:50,2021-05-27 19:54:52
1622120092899,6,146,21.02048,105.77988,1622120091,2021-05-27 19:54:51,2021-05-27 19:54:52
1622120092899,7,145,21.02033,105.77999,1622120092,2021-05-27 19:54:52,2021-05-27 19:54:52
1622120100884,0,144,21.02019,105.78011,1622120093,2021-05-27 19:54:53,2021-05-27 19:55:00
1622120100884,1,144,21.02005,105.78021,1622120094,2021-05-27 19:54:54,2021-05-27 19:55:00
1622120100884,2,143,21.0199,105.78033,1622120095,2021-05-27 19:54:55,2021-05-27 19:55:00
1622120100884,3,143,21.01976,105.78044,1622120096,2021-05-27 19:54:56,2021-05-27 19:55:00
1622120100884,4,142,21.01962,105.78056,1622120097,2021-05-27 19:54:57,2021-05-27 19:55:00
1622120100884,5,143,21.01949,105.78067,1622120098,2021-05-27 19:54:58,2021-05-27 19:55:00
1622120100884,6,142,21.01935,105.78078,1622120099,2021-05-27 19:54:59,2021-05-27 19:55:00
1622120100884,7,143,21.01921,105.7809,1622120100,2021-05-27 19:55:00,2021-05-27 19:55:00
1622120108928,0,142,21.01907,105.78101,1622120101,2021-05-27 19:55:01,2021-05-27 19:55:08
1622120108928,1,144,21.01894,105.78112,1622120102,2021-05-27 19:55:02,2021-05-27 19:55:08
1622120108928,2,143,21.0188,105.78123,1622120103,2021-05-27 19:55:03,2021-05-27 19:55:08
1622120108928,3,143,21.01867,105.78134,1622120104,2021-05-27 19:55:04,2021-05-27 19:55:08
1622120108928,4,143,21.01853,105.78145,1622120105,2021-05-27 19:55:05,2021-05-27 19:55:08
1622120108928,5,143,21.0184,105.78156,1622120106,2021-05-27 19:55:06,2021-05-27 19:55:08
1622120108928,6,143,21.01826,105.78167,1622120107,2021-05-27 19:55:07,2021-05-27 19:55:08
1622120108928,7,144,21.01813,105.78178,1622120108,2021-05-27 19:55:08,2021-05-27 19:55:08
1622120116900,0,143,21.01799,105.78188,1622120109,2021-05-27 19:55:09,2021-05-27 19:55:16
